
NAME                                                                                                     CPU %               MEM USAGE / LIMIT     MEM %
hadoop-slave-6-2                                                                                         0.83%               842.3MiB / 62.39GiB   1.32%
hadoop-slave-6-1                                                                                         0.81%               831.2MiB / 62.39GiB   1.30%
hadoop-master-6                                                                                          0.94%               1.144GiB / 62.39GiB   1.83%
hadoop-slave-5-2                                                                                         0.80%               856.2MiB / 62.39GiB   1.34%
hadoop-slave-5-1                                                                                         0.77%               848.4MiB / 62.39GiB   1.33%
hadoop-master-5                                                                                          0.98%               1.173GiB / 62.39GiB   1.88%
hadoop-slave-4-2                                                                                         0.85%               854.1MiB / 62.39GiB   1.34%
hadoop-slave-4-1                                                                                         0.89%               853.3MiB / 62.39GiB   1.34%
hadoop-master-4                                                                                          177.84%             1.3GiB / 62.39GiB     2.08%
hadoop-slave-3-2                                                                                         1.16%               852.3MiB / 62.39GiB   1.33%
hadoop-slave-3-1                                                                                         0.95%               855.8MiB / 62.39GiB   1.34%
hadoop-master-3                                                                                          156.10%             1.289GiB / 62.39GiB   2.07%
hadoop-slave-2-2                                                                                         0.75%               860.9MiB / 62.39GiB   1.35%
hadoop-slave-2-1                                                                                         0.82%               872.6MiB / 62.39GiB   1.37%
hadoop-master-2                                                                                          198.25%             1.364GiB / 62.39GiB   2.19%
hadoop-slave-1-2                                                                                         0.84%               872.8MiB / 62.39GiB   1.37%
hadoop-slave-1-1                                                                                         1.00%               863.8MiB / 62.39GiB   1.35%
hadoop-master-1                                                                                          180.37%             1.326GiB / 62.39GiB   2.13%
hadoop-slave-0-2                                                                                         0.87%               882.7MiB / 62.39GiB   1.38%
hadoop-slave-0-1                                                                                         0.95%               889.1MiB / 62.39GiB   1.39%
hadoop-master-0                                                                                          165.22%             910.3MiB / 62.39GiB   1.42%
NAME                                                                                                     CPU %               MEM USAGE / LIMIT     MEM %
hadoop-slave-6-2                                                                                         0.77%               842.3MiB / 62.39GiB   1.32%
hadoop-slave-6-1                                                                                         0.78%               831.2MiB / 62.39GiB   1.30%
hadoop-master-6                                                                                          0.94%               1.144GiB / 62.39GiB   1.83%
hadoop-slave-5-2                                                                                         0.93%               856.2MiB / 62.39GiB   1.34%
hadoop-slave-5-1                                                                                         0.72%               848.4MiB / 62.39GiB   1.33%
hadoop-master-5                                                                                          0.88%               1.173GiB / 62.39GiB   1.88%
hadoop-slave-4-2                                                                                         56.89%              873.7MiB / 62.39GiB   1.37%
hadoop-slave-4-1                                                                                         0.82%               853.4MiB / 62.39GiB   1.34%
hadoop-master-4                                                                                          57.87%              1.434GiB / 62.39GiB   2.30%
hadoop-slave-3-2                                                                                         33.01%              853MiB / 62.39GiB     1.34%
hadoop-slave-3-1                                                                                         9.89%               856.1MiB / 62.39GiB   1.34%
hadoop-master-3                                                                                          107.94%             1.432GiB / 62.39GiB   2.29%
hadoop-slave-2-2                                                                                         59.26%              878.7MiB / 62.39GiB   1.38%
hadoop-slave-2-1                                                                                         0.72%               872.6MiB / 62.39GiB   1.37%
hadoop-master-2                                                                                          6.96%               1.433GiB / 62.39GiB   2.30%
